client,client_entities_total,bank,entities_at_bank,accounts_at_bank,active_accounts_at_bank,tx_total,tx_last_90d,monthly_amount_usd,mrr_usd,hubspot_deal,match_confidence
"Alimentos Alvarigua, c.a.",1,Bancaribe,1,2,1,2174,452,449,,Alvarigua,high
Capitalfoods,2,Bancaribe,2,4,2,1218,362,449,,Capital Foods,high
Procesadora Marsoca,3,Bancaribe,3,8,4,3545,357,350,,Marsoca,high
Corporación Tu Aliado Digital,3,Bancaribe,1,3,2,340,339,1000,,Tu Aliado Venezuela,high
Laboratorios Elmor,3,Bancaribe,1,2,2,3786,325,349,,Elmor,high
CORPORACION BEL,17,Bancaribe,1,2,2,486,264,500,800,Corporación Bel,high
Casagri de Lara,1,Bancaribe,1,2,2,685,224,490,700,Casagri,high
Grupo Quo Vadis,1,Bancaribe,1,2,2,816,208,349,,Quo Vadis Viajes,high
LABORATORIOS KIMICEG C.A,1,Bancaribe,1,2,2,675,193,449,,LABORATORIOS KIMICEG,high
ALIMENTOS LPRADO,2,Bancaribe,1,1,1,557,159,999,,Alimentos L'Prado,high
COSEIMPA,2,Bancaribe,2,3,2,757,159,500,,Coseimpa,high
Valles del Turbio,2,Bancaribe,1,3,2,892,114,250,250,Importadora VDT,high
Grupo Mimesa,3,Bancaribe,1,3,2,90,89,750,1500,Grupo Mimesa,high
AVICOLA LAS TUNAS,2,Bancaribe,1,2,2,1225,88,799,799,Alimentos Las Tunas C.A,high
TORONDOY,2,Bancaribe,1,3,2,811,83,800,1000,Lácteos Torondoy,high
INQUIPORT,1,Bancaribe,1,2,1,61,60,1000,,Inquiport,high
Grupo cashea,1,Bancaribe,1,3,2,638,57,7000,7000,Cashea,high
"TAMAYO & CIA.,S.A.",2,Bancaribe,1,2,2,348,49,300,,Tamayo & CIA S.A,high
Protinal,12,Bancaribe,2,4,1,50,47,600,600,Protinal Proagro,high
Yummy,3,Bancaribe,3,6,3,550,28,500,,Yummy,high
FIVENCA,5,Bancaribe,3,3,3,116,27,500,,Fivenca,high
Grupo Ama de casa,3,Bancaribe,1,1,1,145,13,250,,Ama de Casa,medium
Pharmakum,2,Bancaribe,1,2,1,28,8,693,600,Laboratorios Pharmakum,high
Dimassi,1,Bancaribe,1,2,0,16,0,1200,1500,Di Massi,high
herramientas sbdk,1,Bancaribe,1,2,0,2,0,,,,no_won_deal
FLETY,2,Bancaribe,1,2,0,141,0,130,,Flety,high
La Sante,1,Bancaribe,1,1,0,47,0,350,,La Sante,high
Curiara,1,Bancaribe,1,1,0,3123,0,350,,Curiara,high
